source,stream,material,amount (kg/MW),amount (kg/MWh),coordinate mining site,location mining,reference mining,mining assumptions,coordinate manufacturing,location processing,reference processing,
wind,front_waste,dysprosium_mining_w,323,0.007374429,"(24.839019,114.836978)",Foot Cave," @article{Wang_Xu_Yan_Zhang_2021, title={New Insights into Ion Adsorption Type Rare-Earths Mining—Bacterial Adsorption of Yttrium Integrated with Ammonia Nitrogen Removal by a Fungus}, volume={13}, ISSN={2071-1050}, url={https://www.mdpi.com/2071-1050/13/16/9460}, DOI={10.3390/su13169460}, abstractNote={Ion adsorption-type heavy rare earths found in southern China are important ore resources, whose yttrium(Y)-group rare-earth elements account for 90% of the total mass of rare earths known on the planet. At present, ammonia-nitrogen wastewater from extraction of rare earths pose threats to the environment. A bacterial strain (Bacillus sp. ZD 1) isolated from the “Foot Cave” mining area was used for adsorption of Y3+. Its adsorption capacity reached 428 μmol/g when the initial concentration of Y3+ was 1.13 mM. Moreover, 50 mg of Bacillus sp. ZD 1 (converted to dry mass) could completely adsorb Y3+ in the mother solution of mixed rare earths from the rare-earth mining area. Ammonia nitrogen in the remaining solution after adsorption was removed through denitrification using a fungus named Galactomyces sp. ZD 27. The final concentration of ammonia nitrogen in wastewater was lower than Indirect Emission Standard of Pollutants for Rare-earth Industry (GB 26451-2011). Furthermore, the resulting fungal cells of Galactomyces sp. ZD 27 could be used to produce single cell proteins, whose content accounted for 70.75% of the dry mass of cells. This study offers a new idea for integrated environmentally-friendly extraction and ecological restoration of the mining area in southern China.}, number={16}, journal={Sustainability}, author={Wang, Weiying and Xu, Yanqiong and Yan, Riming and Zhang, Zhibin}, year={2021} }
","Two Sources: First source mentions that terbium is concentrated in ion-absorpotion clays. Second source locates ""Foot Cave"" as the largest site",,,,
coal,oper_waste,FGC,11773440,64,"(33.5561,-112.2153)",,,,,,,
wind,back_waste,fiberglass,3490.8,0.07969863,"(33.6439,-117.9792)",,,,,,,
wind,front_need,fiberglass ,3490.8,0.07969863,"(41.346980524615006,-88.86510969706033)",Ottawa Plant,"@misc{u.s. silica, title={Ottawa, IL}, url={https://www.ussilica.com/locations/ottawa-il#:~:text=Overview,Peter%20Sandstone%20Formation}, journal={U.S. Silica}} ","Because one of the main ingreidents of fiberglass is silica sand, I located the largest silica sand mine in the US.@misc{world record academy_2022, title={World's largest limestone quarry: World record in Rogers City, Michigan}, url={https://www.worldrecordacademy.org/2022/09/worlds-largest-limestone-quarry-world-record-in-rogers-city-michigan-422379}, journal={World Record Academy}, year={2022}, month={Sep}} 
@misc{genesis alkali_2021, url={https://alkali.genesisenergy.com/}, journal={Genesis Alkali}, year={2021}, month={Sep}} ",,,,
nuclear,oper_waste,fission_prod,712.5,0.001506215,"(31.400255,-86.476449)",,,,,,,
gas,oper_waste,formaldehyde,1943.406,0.0087,"(34.7042,-87.1189)",,,,,,,
nuclear,oper_need,gadolinium,2.8713528,0.00000607,"(24.839019,114.836978)",Foot Cave," @article{Wang_Xu_Yan_Zhang_2021, title={New Insights into Ion Adsorption Type Rare-Earths Mining—Bacterial Adsorption of Yttrium Integrated with Ammonia Nitrogen Removal by a Fungus}, volume={13}, ISSN={2071-1050}, url={https://www.mdpi.com/2071-1050/13/16/9460}, DOI={10.3390/su13169460}, abstractNote={Ion adsorption-type heavy rare earths found in southern China are important ore resources, whose yttrium(Y)-group rare-earth elements account for 90% of the total mass of rare earths known on the planet. At present, ammonia-nitrogen wastewater from extraction of rare earths pose threats to the environment. A bacterial strain (Bacillus sp. ZD 1) isolated from the “Foot Cave” mining area was used for adsorption of Y3+. Its adsorption capacity reached 428 μmol/g when the initial concentration of Y3+ was 1.13 mM. Moreover, 50 mg of Bacillus sp. ZD 1 (converted to dry mass) could completely adsorb Y3+ in the mother solution of mixed rare earths from the rare-earth mining area. Ammonia nitrogen in the remaining solution after adsorption was removed through denitrification using a fungus named Galactomyces sp. ZD 27. The final concentration of ammonia nitrogen in wastewater was lower than Indirect Emission Standard of Pollutants for Rare-earth Industry (GB 26451-2011). Furthermore, the resulting fungal cells of Galactomyces sp. ZD 27 could be used to produce single cell proteins, whose content accounted for 70.75% of the dry mass of cells. This study offers a new idea for integrated environmentally-friendly extraction and ecological restoration of the mining area in southern China.}, number={16}, journal={Sustainability}, author={Wang, Weiying and Xu, Yanqiong and Yan, Riming and Zhang, Zhibin}, year={2021} }
","Two Sources: First source mentions that terbium is concentrated in ion-absorpotion clays. Second source locates ""Foot Cave"" as the largest site",,,,
nuclear,oper_waste,gadolinium,2.8713528,0.00000607,"(38.2268,-121.0245)",,,,,,,
nuclear,oper_waste,gadolinium_mining_w,284.2639272,0.00060093,"(31.400255,-86.476449)",,,,,,,
solar,back_waste,germanium,440,0.011161847,"(33.918151,-118.427648)",,,,,,,
solar,front_need,germanium,440,0.011161847,"(68.071989,-162.876044)",Red Dog Mine,"@misc{lasley_2020, title={The quantum realm of Alaska Germanium}, url={https://www.miningnewsnorth.com/story/2020/12/31/critical-minerals-alaska-2020/the-quantum-realm-of-alaska-germanium/6492.html}, journal={North of 60 Mining News}, author={Lasley, Shane}, year={2020}, month={Oct}} ","According to the article, ""The Red Dog zinc mine in Northwest Alaska is believed to be the primary source for significant amounts of germanium mined in the U.S""","(49.107490856229596,-117.72694306135688)",Teck Resources' Tril Refinery,"@misc{lasley_2020, title={The quantum realm of Alaska Germanium}, url={https://www.miningnewsnorth.com/story/2020/12/31/critical-minerals-alaska-2020/the-quantum-realm-of-alaska-germanium/6492.html}, journal={North of 60 Mining News}, author={Lasley, Shane}, year={2020}, month={Oct}} ",
solar,front_waste,germanium_mining_w,1099560,27.8934551,"(68.071989,-162.876044)",Red Dog Mine,"@misc{lasley_2020, title={The quantum realm of Alaska Germanium}, url={https://www.miningnewsnorth.com/story/2020/12/31/critical-minerals-alaska-2020/the-quantum-realm-of-alaska-germanium/6492.html}, journal={North of 60 Mining News}, author={Lasley, Shane}, year={2020}, month={Oct}} ","According to the article, ""The Red Dog zinc mine in Northwest Alaska is believed to be the primary source for significant amounts of germanium mined in the U.S""","(49.107490856229596,-117.72694306135688)",Teck Resources' Tril Refinery,"@misc{lasley_2020, title={The quantum realm of Alaska Germanium}, url={https://www.miningnewsnorth.com/story/2020/12/31/critical-minerals-alaska-2020/the-quantum-realm-of-alaska-germanium/6492.html}, journal={North of 60 Mining News}, author={Lasley, Shane}, year={2020}, month={Oct}} ",
solar,back_waste,glass,70000,1.775748351,"(33.764741,-118.09913)",,,,,,,
solar,front_need,glass (silica sand),70000,1.775748351,"(35.942922,-82.082680)",Spruce Pine Mining District," @misc{fromer_zhou_2021, title={A rare form of quartz is key to Xinjiang’s solar boom, and almost all of it is in the US}, url={https://www.scmp.com/news/china/article/3153656/rare-form-quartz-key-xinjiangs-solar-boom-and-almost-all-it-us}, journal={South China Morning Post}, author={Fromer, Jacob and Zhou, Cissy}, year={2021}, month={Oct}} ",,,,,
gas,oper_waste,H2S,0.003149658,1.41E-08,"(37.8833,-84.1017)",,,,,,,
solar,back_waste,indium,380,0.009639777,"(33.918151,-118.427648)",,,,,,,
nuclear,back_waste,indium,0.49,0.00000104,"(32.699451,-115.28245)",,,,,,,
solar,front_need,indium,380,0.009639777,"(23.350000,104.533333)",Dulong Ore Field,"@article{TONG_SONG_HE_Lopez-Valdivieso_2008, title={Flotation of indium-beard marmatite from multi-metallic ore}, volume={27}, ISSN={1001-0521}, DOI={https://doi.org/10.1016/S1001-0521(08)60096-0}, abstractNote={Flotation of indium-beard marmatite from Dulong multi-metallic ore in Yunnan Province of China was studied to improve the grades and recoveries of zinc and indium of the zinc concentrate in Dulong concentration plant. The experimental results indicated that copper sulfate mixed with a chemical reagent X-1 as the activator in the marmatite flotation produced a much better beneficiation than copper sulfate alone, increasing the zinc and indium recoveries of 10% and 6%, respectively, while the concentrate grades remained unchanged. Also, the new activator acted well around pH 10, allowing large savings on lime consumption in the marmatite flotation. In addition, it has been found that a sufficient activated time of activator with ore slurry in the flotation is needed to achieve good beneficiation of the marmatite ore.}, number={2}, journal={Rare Metals}, author={TONG, Xiong and SONG, Shaoxian and HE, Jian and Lopez-Valdivieso, Alejandro}, year={2008}, pages={107–111} }",Coordinates based on Wenshan mine located in the Dulong ore field. Note that sources locate Dulong as the largest (not Wenshan),,,,
nuclear,front_need,indium,0.49,0.00000104,"(23.350000,104.533333)",Dulong Ore Field,"@article{TONG_SONG_HE_Lopez-Valdivieso_2008, title={Flotation of indium-beard marmatite from multi-metallic ore}, volume={27}, ISSN={1001-0521}, DOI={https://doi.org/10.1016/S1001-0521(08)60096-0}, abstractNote={Flotation of indium-beard marmatite from Dulong multi-metallic ore in Yunnan Province of China was studied to improve the grades and recoveries of zinc and indium of the zinc concentrate in Dulong concentration plant. The experimental results indicated that copper sulfate mixed with a chemical reagent X-1 as the activator in the marmatite flotation produced a much better beneficiation than copper sulfate alone, increasing the zinc and indium recoveries of 10% and 6%, respectively, while the concentrate grades remained unchanged. Also, the new activator acted well around pH 10, allowing large savings on lime consumption in the marmatite flotation. In addition, it has been found that a sufficient activated time of activator with ore slurry in the flotation is needed to achieve good beneficiation of the marmatite ore.}, number={2}, journal={Rare Metals}, author={TONG, Xiong and SONG, Shaoxian and HE, Jian and Lopez-Valdivieso, Alejandro}, year={2008}, pages={107–111} }",,,,,
solar,front_waste,indium_mining_w,3799620,96.38812785,"(23.350000,104.533333)",Dulong Ore Field,"@article{TONG_SONG_HE_Lopez-Valdivieso_2008, title={Flotation of indium-beard marmatite from multi-metallic ore}, volume={27}, ISSN={1001-0521}, DOI={https://doi.org/10.1016/S1001-0521(08)60096-0}, abstractNote={Flotation of indium-beard marmatite from Dulong multi-metallic ore in Yunnan Province of China was studied to improve the grades and recoveries of zinc and indium of the zinc concentrate in Dulong concentration plant. The experimental results indicated that copper sulfate mixed with a chemical reagent X-1 as the activator in the marmatite flotation produced a much better beneficiation than copper sulfate alone, increasing the zinc and indium recoveries of 10% and 6%, respectively, while the concentrate grades remained unchanged. Also, the new activator acted well around pH 10, allowing large savings on lime consumption in the marmatite flotation. In addition, it has been found that a sufficient activated time of activator with ore slurry in the flotation is needed to achieve good beneficiation of the marmatite ore.}, number={2}, journal={Rare Metals}, author={TONG, Xiong and SONG, Shaoxian and HE, Jian and Lopez-Valdivieso, Alejandro}, year={2008}, pages={107–111} }",,,,,
nuclear,front_waste,indium_mining_w,4899.51,0.010357496,"(23.350000,104.533333)",Dulong Ore Field,"@article{TONG_SONG_HE_Lopez-Valdivieso_2008, title={Flotation of indium-beard marmatite from multi-metallic ore}, volume={27}, ISSN={1001-0521}, DOI={https://doi.org/10.1016/S1001-0521(08)60096-0}, abstractNote={Flotation of indium-beard marmatite from Dulong multi-metallic ore in Yunnan Province of China was studied to improve the grades and recoveries of zinc and indium of the zinc concentrate in Dulong concentration plant. The experimental results indicated that copper sulfate mixed with a chemical reagent X-1 as the activator in the marmatite flotation produced a much better beneficiation than copper sulfate alone, increasing the zinc and indium recoveries of 10% and 6%, respectively, while the concentrate grades remained unchanged. Also, the new activator acted well around pH 10, allowing large savings on lime consumption in the marmatite flotation. In addition, it has been found that a sufficient activated time of activator with ore slurry in the flotation is needed to achieve good beneficiation of the marmatite ore.}, number={2}, journal={Rare Metals}, author={TONG, Xiong and SONG, Shaoxian and HE, Jian and Lopez-Valdivieso, Alejandro}, year={2008}, pages={107–111} }",,,,,
gas,back_waste,iron,31438,0.140737756,"(55.339722,-160.497222)",,,,,,,
hydro,back_waste,iron,360000,1.975763962,"(59.4545,-135.3131)",,,,,,,
coal,back_waste,iron,51340.6867,0.279086142,"(32.16,-110.9047)",,,,,,,
wind,back_waste,iron,0,0,"(34.1292,-119.1689)",,,,,,,
solar,back_waste,iron,56000,1.420598681,"(33.918151,-118.427648)",,,,,,,
nuclear,back_waste,iron,34662.29,0.0732756,"(28.4822,-81.1678)",,,,,,,
gas,front_need,iron,31438,0.140737756,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
hydro,front_need,iron,60128.64,0.33,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
coal,front_need,iron,51340.6867,0.279086142,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
wind,front_need,iron,588060.4,13.42603653,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
solar,front_need,iron,56000,1.420598681,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
nuclear,front_need,iron,34662.29,0.0732756,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
gas,oper_need,iron,134028,0.6,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
nuclear,oper_need,iron,30274.56,0.064,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
gas,oper_waste,iron,134028,0.6,"(37.8833,-84.1017)",,,,,,,
nuclear,oper_waste,iron,30274.56,0.064,"(38.2268,-121.0245)",,,,,,,
gas,front_waste,iron_mining_w,16928.15385,0.075781869,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
hydro,front_waste,iron_mining_w,32376.96,0.177692308,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
coal,front_waste,iron_mining_w,27644.98515,0.150277153,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
wind,front_waste,iron_mining_w,316647.9077,7.229404285,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
solar,front_waste,iron_mining_w,30153.84615,0.764937751,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
nuclear,front_waste,iron_mining_w,34965.99615,0.073917631,"(47.544722222222 ,-92.654444444444)",Minntac Mine,"@misc{carmen_2022, title={Five largest iron ore mines in US in 2021}, url={https://www.mining-technology.com/marketdata/five-largest-iron-ore-mines-the-us-2021/}, journal={Mining Technology}, author={Carmen}, year={2022}, month={Jun}}",,,,,
,oper_waste,iron_mining_w,16300,0.0345,"(38.2268,-121.0245)",,,,,,,
solar,back_waste,lead,2.4,0.0000609,"(33.918151,-118.427648)",,,,,,,
nuclear,back_waste,lead,46.65,0.0000986,"(41.3107,-72.1677)",,,,,,,
solar,front_need,lead,2.4,0.0000609,"(-20.69674, 139.29889)",Mount Isa Zinc Mine," @misc{globaldata_2022, title={Global : Five largest lead mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-lead-mines-in-2090676/}, journal={GlobalData}, author={GlobalData}, year={2022}, month={Jul}} ","Assumed that lead was imported, according to USGS data. The website lists the ""largest lead mines"", but lists the largest mine as a zinc mine",,,,
nuclear,front_need,lead,46.65,0.0000986,"(-20.69674, 139.29889)",Mount Isa Zinc Mine," @misc{globaldata_2022, title={Global : Five largest lead mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-lead-mines-in-2090676/}, journal={GlobalData}, author={GlobalData}, year={2022}, month={Jul}} ","Assumed that lead was imported, according to USGS data. The website lists the ""largest lead mines"", but lists the largest mine as a zinc mine",,,,
coal,oper_waste,lead,5.5188,0.00003,"(33.4417,-112.1583)",,,,,,,
solar,front_waste,lead_mining_w,136.1681293,0.00345429,"(-20.69674, 139.29889)",Mount Isa Zinc Mine," @misc{globaldata_2022, title={Global : Five largest lead mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-lead-mines-in-2090676/}, journal={GlobalData}, author={GlobalData}, year={2022}, month={Jul}} ","Assumed that lead was imported, according to USGS data. The website lists the ""largest lead mines"", but lists the largest mine as a zinc mine",,,,
nuclear,front_waste,lead_mining_w,2646.768014,0.005595231,"(-20.69674, 139.29889)",Mount Isa Zinc Mine," @misc{globaldata_2022, title={Global : Five largest lead mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-lead-mines-in-2090676/}, journal={GlobalData}, author={GlobalData}, year={2022}, month={Jul}} ","Assumed that lead was imported, according to USGS data. The website lists the ""largest lead mines"", but lists the largest mine as a zinc mine",,,,
coal,oper_need,lime_FGC,1287720,7,"(45.41583,-83.80306)",Calcite Quarry ,"@misc{world record academy_2022, title={World's largest limestone quarry: World record in Rogers City, Michigan}, url={https://www.worldrecordacademy.org/2022/09/worlds-largest-limestone-quarry-world-record-in-rogers-city-michigan-422379}, journal={World Record Academy}, year={2022}, month={Sep}} ",,,,,
coal,oper_waste,lime_FGC,1287720,7,"(64.505331,-165.429814)",,,,,,,
coal,oper_waste,lime_mining_w,4952769.231,8.555555556,"(41.949,-74.2063)",,,,,,,
gas,oper_need,limestone,134028,0.6,"(45.41583,-83.80306)",Calcite Quarry ,"@misc{world record academy_2022, title={World's largest limestone quarry: World record in Rogers City, Michigan}, url={https://www.worldrecordacademy.org/2022/09/worlds-largest-limestone-quarry-world-record-in-rogers-city-michigan-422379}, journal={World Record Academy}, year={2022}, month={Sep}} ",,,,,
coal,oper_need,limestone,16556400,90,"(45.41583,-83.80306)",Calcite Quarry ,"@misc{world record academy_2022, title={World's largest limestone quarry: World record in Rogers City, Michigan}, url={https://www.worldrecordacademy.org/2022/09/worlds-largest-limestone-quarry-world-record-in-rogers-city-michigan-422379}, journal={World Record Academy}, year={2022}, month={Sep}} ",,,,,
gas,oper_waste,limestone,134028,0.6,"(37.8833,-84.1017)",,,,,,,
coal,oper_waste,limestone,16556400,90,"(64.505331,-165.429814)",,,,,,,
wind,oper_need,lubricant,3304,0.07543379,"(28.9907,-98.0499)",Eagleville (Eagle Ford Shale),"@book{top 100 u.s. oil and gas fields_2015, place={Washington, DC}, journal={Top 100 U.S. Oil and Gas Fields}, institution={US Department of Energy}, year={2015}, pages={i-12}} ","Assume that Mobil SHC Gear 320 WT is used. 320 WT uses polyalphaolefin technology, which is synthesized from ethylene. While ethylene is made either from petroleum or natural gas, I assumed petroleum sine ethylene has historically been made from petroleum",,,,
wind,oper_waste,lubricant,3304,0.07543379,"(34.1556,-118.2782)",,,,,,,
nuclear,back_waste,magnesium,782.38,0.00165394,"(32.711611,-114.942666)",,,,,,,
nuclear,front_need,magnesium,782.38,0.00165394,"(40.66667,122.83333)",Xiafangshen Mine," @book{wu_han_liu_2021, place={Singapore}, title={Comprehensive Utilization of Magnesium Slag by Pidgeon Process}, publisher={Springer Singapore Pte. Limited}, author={Wu, Lan'er and Han, Fenglan and Liu, Guiqun}, year={2021}} ",,,,,
nuclear,front_waste,magnesium_mining_w,2011.834286,0.00425299,"(40.66667,122.83333)",Xiafangshen Mine," @book{wu_han_liu_2021, place={Singapore}, title={Comprehensive Utilization of Magnesium Slag by Pidgeon Process}, publisher={Springer Singapore Pte. Limited}, author={Wu, Lan'er and Han, Fenglan and Liu, Guiqun}, year={2021}} ",,,,,
wind,back_waste,manganese,80.5,0.0018379,"(34.0818,-117.2418)",,,,,,,
nuclear,back_waste,manganese,467.36,0.000987993,"(41.3107,-72.1677)",,,,,,,
wind,front_need,manganese,80.5,0.0018379,"(-26.752277788207593,23.043808427846685)",Tshipi Borwa Open Pit Mine,"@misc{mining technology_2011, title={Tshipi Borwa Open Pit Mine}, url={https://www.mining-technology.com/projects/tshipi-mine/}, journal={Mining Technology}, publisher={Verdict}, year={2011}, month={Apr}} ","Can't find the largest manganese mine. Sources note that Kalahari Manganese field is one of the largest mines, and Tshipi is one of the mines located within Kalahari",,,,
nuclear,front_need,manganese,467.36,0.000987993,"(-26.752277788207593,23.043808427846685)",Tshipi Borwa Open Pit Mine,"@misc{mining technology_2011, title={Tshipi Borwa Open Pit Mine}, url={https://www.mining-technology.com/projects/tshipi-mine/}, journal={Mining Technology}, publisher={Verdict}, year={2011}, month={Apr}} ","Can't find the largest manganese mine. Sources note that Kalahari Manganese field is one of the largest mines, and Tshipi is one of the mines located within Kalahari",,,,
coal,oper_waste,manganese,7910.28,0.043,"(33.4417,-112.1583)",,,,,,,
wind,front_waste,manganese_mining_w,149.5,0.003413242,"(-26.752277788207593,23.043808427846685)",Tshipi Borwa Open Pit Mine,"@misc{mining technology_2011, title={Tshipi Borwa Open Pit Mine}, url={https://www.mining-technology.com/projects/tshipi-mine/}, journal={Mining Technology}, publisher={Verdict}, year={2011}, month={Apr}} ","Can't find the largest manganese mine. Sources note that Kalahari Manganese field is one of the largest mines, and Tshipi is one of the mines located within Kalahari",,,,
nuclear,front_waste,manganese_mining_w,867.9542857,0.001834843,"(-26.752277788207593,23.043808427846685)",Tshipi Borwa Open Pit Mine,"@misc{mining technology_2011, title={Tshipi Borwa Open Pit Mine}, url={https://www.mining-technology.com/projects/tshipi-mine/}, journal={Mining Technology}, publisher={Verdict}, year={2011}, month={Apr}} ","Can't find the largest manganese mine. Sources note that Kalahari Manganese field is one of the largest mines, and Tshipi is one of the mines located within Kalahari",,,,
coal,oper_waste,mercury,6.80652,0.000037,"(33.4417,-112.1583)",,,,,,,
gas,oper_waste,methane leak,629931.6,2.82,"(34.7042,-87.1189)",,,,,,,
wind,back_waste,molybdenum,136.6,0.003118721,"(34.107245,-117.099091)",,,,,,,
nuclear,back_waste,molybdenum,163.66,0.000345975,"(41.1706,-73.1844)",,,,,,,
wind,front_need,molybdenum,136.6,0.003118721,"(34.332298279,109.95400238)",Jinduicheng,"@article{zhang_yang_dong_zhu_chen_2009, title={Molybdenum deposits in the Eastern Qinling, Central China: Constraints on the geodynamics}, volume={53}, DOI={10.1080/00206810903053902}, number={2}, journal={International Geology Review}, author={Zhang, Zhengwei and Yang, Xiaoyong and Dong, You and Zhu, Bingquan and Chen, Duofu}, year={2009}, month={Jun}, pages={261–290}} ","Qinling Orogentic Belt is a very big reserve. Based on a journal article, I chose Jinduicheng which is considered a large deposit. ",,,,https://www.researchgate.net/publication/232852128_Molybdenum_deposits_in_the_eastern_Qinling_central_China_Constraints_on_the_geodynamics
nuclear,front_need,molybdenum,163.66,0.000345975,"(34.332298279,109.95400238)",Jinduicheng,"@article{zhang_yang_dong_zhu_chen_2009, title={Molybdenum deposits in the Eastern Qinling, Central China: Constraints on the geodynamics}, volume={53}, DOI={10.1080/00206810903053902}, number={2}, journal={International Geology Review}, author={Zhang, Zhengwei and Yang, Xiaoyong and Dong, You and Zhu, Bingquan and Chen, Duofu}, year={2009}, month={Jun}, pages={261–290}} ","Qinling Orogentic Belt is a very big reserve. Based on a journal article, I chose Jinduicheng which is considered a large deposit. ",,,,
coal,oper_waste,molybdenum,6.99048,0.000038,"(32.5517,-111.3)",,,,,,,
wind,front_waste,molybdenum_mining_w,27183.4,0.620625571,"(34.332298279,109.95400238)",Jinduicheng,"@article{zhang_yang_dong_zhu_chen_2009, title={Molybdenum deposits in the Eastern Qinling, Central China: Constraints on the geodynamics}, volume={53}, DOI={10.1080/00206810903053902}, number={2}, journal={International Geology Review}, author={Zhang, Zhengwei and Yang, Xiaoyong and Dong, You and Zhu, Bingquan and Chen, Duofu}, year={2009}, month={Jun}, pages={261–290}} ","Qinling Orogentic Belt is a very big reserve. Based on a journal article, I chose Jinduicheng which is considered a large deposit. ",,,,
nuclear,front_waste,molybdenum_mining_w,32568.34,0.068849019,"(34.332298279,109.95400238)",Jinduicheng,"@article{zhang_yang_dong_zhu_chen_2009, title={Molybdenum deposits in the Eastern Qinling, Central China: Constraints on the geodynamics}, volume={53}, DOI={10.1080/00206810903053902}, number={2}, journal={International Geology Review}, author={Zhang, Zhengwei and Yang, Xiaoyong and Dong, You and Zhu, Bingquan and Chen, Duofu}, year={2009}, month={Jun}, pages={261–290}} ","Qinling Orogentic Belt is a very big reserve. Based on a journal article, I chose Jinduicheng which is considered a large deposit. ",,,,
gas,oper_need,natural_gas,37795896,169.2,"(39.28184198412667,-80.6943303709875)",MPLX Sherwood Gas Processing Complex,"@misc{galford_2019, title={North America's largest gas-processing facility expands operations in West Virginia}, url={https://dailyenergyinsider.com/news/19074-north-americas-largest-gas-processing-facility-expands-operations-in-west-virginia/}, journal={Daily Energy Insider}, author={Galford, Chris}, year={2019}, month={Apr}}","MPLX Sherwood Gas Processing Complex is considered US's largest gas processing facility, so the assumption is that the gas is delivered by trucks to the prcoessing plant",,,,
gas,front_waste,natural_gas_waste,1.043610548,0.00000467,"(39.28184198412667,-80.6943303709875)",MPLX Sherwood Gas Processing Complex,"@misc{galford_2019, title={North America's largest gas-processing facility expands operations in West Virginia}, url={https://dailyenergyinsider.com/news/19074-north-americas-largest-gas-processing-facility-expands-operations-in-west-virginia/}, journal={Daily Energy Insider}, author={Galford, Chris}, year={2019}, month={Apr}}","MPLX Sherwood Gas Processing Complex is considered US's largest gas processing facility, so the assumption is that the gas is delivered by trucks to the prcoessing plant",,,,
nuclear,oper_need,natural_uranium,15000,0.031709792,"(58.06851490380746,-104.54038472203668)",Cigar Lake Mine,"@misc{plc, title={Global : Five Largest Uranium Mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-uranium-mines-in-2090695/}, journal={GlobalData}, author={Plc, GlobalData}} ",,,,,
nuclear,oper_waste,natural_uranium,14250,0.030124302,"(31.400255,-86.476449)",,,,,,,
wind,back_waste,neodymium,216,0.004931507,"(34.0818,-117.2418)",,,,,,,
